Number,Protocol,Source MAC,Destination MAC,Source IP,Destination IP,Data Length (bytes)
1282,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1283,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,488
1284,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,118
1285,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.208.65,172.16.29.3,60
1286,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1287,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,618
1288,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,700
1289,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1290,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,60
1291,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,210
1292,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1293,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1294,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1295,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1296,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1297,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1298,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1299,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1300,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1301,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1302,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1303,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1304,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1305,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1306,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1307,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1308,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1309,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1310,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1311,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1312,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1313,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1314,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1315,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1316,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1317,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1318,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1319,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1320,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1321,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1322,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1323,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1324,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
